0,1,2,3,4,5,6,7,8,9,10
----,----,----,"32,4100,0",,3.99,"67,6",1391,A +,,C
"3,6",11.7,"0,46","28,688,3",,"3,51",67.8,1400,A,,
7.5,24.0,"0,96",24.676.0,,3.02,"67,9",1398,I I,,
9.2,29.6,1.18,22.87 0.4,,2.79,68.0,1402,A +,,B
"8,5",23.8,1.17,28.476.2,,3.75,63.1,1129,B +,,C
3.4,10.4,0.45,30.489.6,,3.83,"66,2",1302,C,,
,,,t emp . = -7 ° C,,,,,,,
----,----,----,24.2100.0,,2.66,75.8,2092,A,,
4.0,16.5,"0,46","21.083,5",,2.33,75.0,1988,I I,,
8.4,33.5,0.98,17.466.5,,1.95,74.2,1893,I I,,
12.3,48.1,1.45,13.851.9,,1.56,73.9,1851,A +,,B
10.6,"34,6",1.34,20.865.4,,2.53,68.6,1436,B,,
8.8,23.7,1.24,29.476.3,,3.96,61.8,1068,B +,,C
"7,0","19,8","0,96","29,78 0,2",,"3,91",63.3,1140,,,
"--3-,4-","-1-0-,-0","-0-,-4-5","31.533.6100,09 0.0",,4.034.22,"65,166.4",1239 1261,I I I I,,
