0,1,2,3,4,5,6,7,8,9,10
12.30,0.85,,,,,,,A,,
,,17.40,1.73,,,,,B,,
,,,,"21,90",1.97,,,C,,
0.92,"0,07",14.40,1.41,"0,88",0.07,,B,+ D,,
1.98,0.15,11.80,1.17,3.70,0.32,,,I I,,
"2,6","0,19","9,80",0.99,6.15,0.53,,,I I,,
"2,20",0.16,"6,42",0.64,8.82,o .75,B,+,D +,,E
1.60,"0,12",3.65,"0,36",12.60,1.08,,B +,E,,
1.06,0.08,1.98,0.20,15.09,1.30,,,I I,,
"0,95",0.07,1.52,"0,16",18.39,1.64,,,"""",,
0.83,"0,06",1.31,0.14,20.42,1.86,B +,,C +,,E
5.21,Q .39,12.65,1.26,,,,A,+  E,,
4.35,"0,31",8.20,"0,78",1.20,"0,10",,A,+ D,,
4.02,"0,28",6.42,"0,60","2,60","0,21",,,I I,,
"3,45","0,24",4.25,"0,39",3.45,"0,27",,,I I,,
3.01,0.20,2.68,"0,24",3.13,0.24,,,I I,,
2.43,o.17,1.46,"0,14",8.80,0.71,A,+,D +,,E
2.03,Q .14,0.87,"0,08","9,60",0.77,,A,+  E,,
1.79,0.12,a . so,"0,08",10.40,0.84,,,I I,,
1.62,"0,12",0.63,"0,06",13.15,1.09,,,I I,,
1.59,"0,12",o .45,"0,04",15.80,1.35,,,I I,,
1.12,"0,09",0.21,0.02,20.60,1.86,A,+,C +,,E
